shipment_id,transit_hours,door_opens,mean_temp,max_temp,min_temp,temp_std_c,temp_recovery_rate,rh_mean,rh_std,rh_max,package_type,product_volume_l,fill_ratio,carrier_id,origin_zone,dest_zone,leg_count,sensor_gap_hours,vibration_index,feature_x1,feature_x2,feature_x3,silent_failure,max_temp_c,delay_minutes,high_spoilage_risk,failure_category,predicted_spoilage_risk
SHP000000,4.52,21,9.599,10.913,7.96,1.29,0.5629,0.5914,0.0764,0.6404,2,16.19,0.83,10,0,0,1,1.005,2.2727,-2.2325,-0.5249,0,0,9.599,7.96,1,None,1
SHP000001,1.7,5,2.411,3.261,2.03,0.614,0.4452,0.4216,0.0251,0.467,2,7.31,0.7562,6,2,0,1,0.541,2.1837,2.6035,-0.6972,0,0,2.411,2.03,0,Urban Traffic,0
SHP000002,1.32,2,3.261,4.31,3.135,0.443,0.4003,0.441,0.0399,0.5962,0,10.21,0.7271,0,5,0,2,0.395,2.5449,0.4678,0.793,0,0,3.261,3.135,0,Hub Dwell Delay,0
SHP000003,6.5,19,5.188,7.545,4.875,1.986,0.5774,0.4522,0.0597,0.99,1,0.87,0.838,7,1,5,1,1.371,1.348,0.5615,0.4204,0,0,5.188,4.875,0,Urban Traffic,0
SHP000004,1.8,4,3.52,3.713,2.68,0.799,0.2883,0.459,0.0531,0.5462,0,11.5,0.6914,4,0,5,2,0.089,0.5495,-1.575,0.8817,0,0,3.52,2.68,0,None,0
SHP000005,2.28,20,2.467,4.789,2.295,1.719,0.588,0.366,0.075,0.4055,2,13.1,0.4908,5,0,5,2,2.558,2.8397,0.9198,1.176,0,0,2.467,2.295,0,Hub Dwell Delay,0
SHP000006,2.13,4,3.928,4.7,3.162,0.512,0.4012,0.4843,0.038,0.5097,2,10.73,0.891,3,3,5,3,0.144,2.6455,0.9947,0.0761,0,0,3.928,3.162,0,Hub Dwell Delay,0
SHP000007,3.24,11,3.934,4.812,3.346,1.013,0.5242,0.5203,0.0604,0.7555,1,14.67,0.7991,8,3,0,2,1.805,1.9993,2.7305,-0.6855,0,0,3.934,3.346,0,Refrigeration Failure,0
SHP000008,1.64,3,4.273,4.582,3.921,0.524,0.4605,0.4449,0.0326,0.491,1,11.87,0.8328,10,2,1,3,3.383,2.9191,0.8956,-0.2576,1,0,4.273,3.921,0,Hub Dwell Delay,0
SHP000009,1.45,4,4.595,4.684,4.244,0.465,0.2547,0.5507,0.0247,0.5625,0,9.0,0.7448,10,3,0,1,3.104,1.3546,1.4076,1.1901,0,0,4.595,4.244,0,Refrigeration Failure,0
SHP000010,4.23,25,5.257,8.704,3.487,2.309,0.5549,0.4759,0.0721,0.5233,2,13.47,0.6572,4,4,1,2,1.278,1.8046,-0.0399,0.3533,1,1,5.257,3.487,0,Refrigeration Failure,0
SHP000011,8.29,15,7.729,8.74,5.528,1.233,0.5821,0.6366,0.1006,0.7013,2,12.31,0.7424,3,5,4,2,0.347,1.3911,-0.1192,-0.1974,1,1,7.729,5.528,1,None,1
SHP000012,1.58,1,3.847,3.884,3.806,0.258,0.2752,0.4871,0.0177,0.5987,1,13.66,0.5963,7,1,4,2,0.522,2.1873,-0.5915,0.7032,0,0,3.847,3.806,0,Refrigeration Failure,0
SHP000013,2.2,5,3.379,6.321,3.118,1.033,0.6183,0.3606,0.0497,0.4407,0,15.92,0.5909,11,3,0,2,0.5,2.3563,1.3203,-1.2766,1,0,3.379,3.118,0,None,0
SHP000014,2.72,6,3.375,4.342,1.972,1.215,0.5077,0.3942,0.0386,0.403,2,14.0,0.6836,1,4,0,2,0.011,3.2945,0.4721,1.7953,1,0,3.375,1.972,0,Urban Traffic,0
SHP000015,3.69,10,4.719,7.084,4.08,1.215,0.4,0.4363,0.0745,0.5771,0,11.09,0.9314,6,3,1,1,0.148,0.736,1.154,1.1759,0,0,4.719,4.08,0,Hub Dwell Delay,0
